Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
portal inmobiliario,rm,vitacura,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,166,139,4,4,1,1,0,12490,https://www.portalinmobiliario.com/mlc-538394056-departamento-en-venta-de-4-dorm-en-vitacura-_jm
portal inmobiliario,rm,santiago,2020-07-28,aparment,usada,-16,disponible,-16,75000,-16,N,46,42,2,1,1,0,0,3100,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5742362-avenida-santa-rosa-365-uda
portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,28,28,1,1,0,0,0,1799,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736929-las-rejas-norte-uda
portal inmobiliario,rm,la granja,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,49,49,3,2,0,1,1,2635,https://www.portalinmobiliario.com/venta/departamento/la-granja-metropolitana/5736855-santa-ana-uda
portal inmobiliario,rm,independencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,Y,34,32,1,1,1,0,0,1850,https://www.portalinmobiliario.com/mlc-538683714-departamento-en-venta-de-1-dorm-en-independencia-_jm
portal inmobiliario,rm,vitacura,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,140,120,3,3,1,1,1,12200,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5742049-estadio-croata-vitacura-las-tranqueras-uda
portal inmobiliario,rm,nunoa,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,73,73,2,2,1,1,1,4652,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5742164-miguel-claro-irarrazaval-uda
portal inmobiliario,rm,vitacura,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,125,125,3,3,0,1,1,13900,https://www.portalinmobiliario.com/mlc-538507500-departamento-en-venta-de-3-dormitorios-en-vitacura-_jm
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,175,140,4,4,1,1,1,14900,https://www.portalinmobiliario.com/mlc-538503569-departamento-en-venta-de-4-dorm-en-las-condes-_jm
portal inmobiliario,rm,santiago,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,34,34,1,1,0,0,1,2450,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5736838-tucapel-jimenez-uda
portal inmobiliario,rm,san miguel,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,90,90,2,2,2,1,0,4200,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5739772-san-nicolas-1480-uda
portal inmobiliario,rm,santiago,2020-07-27,aparment,usada,-16,disponible,-16,100000,-16,N,68,65,3,2,1,1,0,3888,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5740624-metro-santa-isabel-atencion-inversionistas-uda
portal inmobiliario,rm,la cisterna,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,Y,58,58,2,2,1,1,1,3402,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5744750-departamento-en-la-comuna-san-miguel-santiago-uda
portal inmobiliario,rm,san miguel,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,84,80,3,2,1,1,1,4150,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5743375-primera-avenida-uda
portal inmobiliario,rm,vitacura,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,133,125,4,3,1,1,1,11200,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5744317-alejandro-cerani-la-llaveria-uda
portal inmobiliario,rm,nunoa,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,92,87,3,2,1,1,1,5659,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5741506-irarrazabal-francisco-de-villagra-uda
portal inmobiliario,rm,santiago,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,77,77,3,2,0,0,0,3263,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5739678-rosas-morande-uda
portal inmobiliario,rm,la cisterna,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,149,84,4,2,1,1,1,4030,https://www.portalinmobiliario.com/mlc-538682535-metro-el-parron-gran-avenida-_jm
portal inmobiliario,rm,quilicura,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,55,55,5,1,1,1,0,1006,https://www.portalinmobiliario.com/venta/departamento/quilicura-metropolitana/5744352-pasaje-veinte-586-uda
portal inmobiliario,rm,san miguel,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,91,91,3,2,2,1,1,4850,https://www.portalinmobiliario.com/mlc-538683392-san-nicolas-autopista-central-_jm
portal inmobiliario,rm,providencia,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,Y,50,40,1,1,0,0,1,4293,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5738355-metro-manuel-montt-uda
portal inmobiliario,rm,providencia,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,Y,46,38,1,1,1,1,1,4350,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5741716-pocuro-los-leones-c_263758-uda
portal inmobiliario,rm,pudahuel,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,48,48,2,1,0,0,0,1900,https://www.portalinmobiliario.com/venta/departamento/pudahuel-metropolitana/5736460-av-teniente-cruz-uda
portal inmobiliario,rm,vitacura,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,540,240,5,5,0,1,0,20700,https://www.portalinmobiliario.com/mlc-538507505-departamento-en-venta-de-5-dorm-en-vitacura-_jm
portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,108,92,3,2,2,1,0,9250,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5742223-metro-colon-amapolas-tobalaba-las-lilas-uda
portal inmobiliario,rm,las condes,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,80,73,3,2,1,1,0,6300,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5738453-oportunidad-3-dormitoriosportal-la-reina-uda
portal inmobiliario,rm,vitacura,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,116,110,4,3,2,1,0,9200,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5743395-paul-claudel-las-nieves-uda
portal inmobiliario,rm,nunoa,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,63,58,2,2,1,1,1,4500,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5737756-plaza-egana-uda
portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,27,27,1,1,0,0,0,1799,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736933-las-rejas-norte-uda
portal inmobiliario,rm,vitacura,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,18,81,2,2,0,0,0,12865,https://www.portalinmobiliario.com/mlc-538673151-departamento-en-venta-de-2-dorm-en-vitacura-_jm
portal inmobiliario,rm,estacion central,2020-07-29,aparment,usada,-16,disponible,-16,35000,-16,Y,31,31,1,1,1,0,0,1780,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5744755-depto-nuevo-entre-metro-ecuador-y-san-alberto-hurtado-uda
portal inmobiliario,rm,las condes,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,137,122,4,3,0,1,1,13100,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5742817-escandinavia-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,105,90,3,2,1,1,1,8500,https://www.portalinmobiliario.com/mlc-538507496-departamento-en-venta-de-3-dormitorios-en-las-condes-_jm
portal inmobiliario,rm,macul,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,65,61,2,2,0,1,1,4136,https://www.portalinmobiliario.com/mlc-538244868-luis-valenzuela-armando-moock-_jm
portal inmobiliario,rm,las condes,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,78,78,2,2,1,1,0,7600,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5744319-apoquindomanquehue-sur-uda
portal inmobiliario,rm,colina,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,275,235,3,4,1,1,0,20800,https://www.portalinmobiliario.com/mlc-538653105-departamento-en-venta-de-3-dormitorios-en-colina-_jm
portal inmobiliario,rm,macul,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,82,83,3,2,0,0,1,4500,https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/5736992-avda-macul-uda
portal inmobiliario,rm,las condes,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,282,280,5,5,3,1,1,18500,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5736622-oscar-tenhann-presidente-kennedy-uda
portal inmobiliario,rm,santiago,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,70,55,2,2,1,1,1,2900,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5737040-av-portugal-porvenir-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,185,164,3,3,1,1,1,15680,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5740569-noruega-uda
