Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","providencia","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","88","88","2","2","1","1","0","6250","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5725269-metro-francisco-bilbao-uda"
"portal inmobiliario","rm","las condes","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","84","54","2","2","1","1","0","7950","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5731871-metro-colon-duplex-increible-uda"
"portal inmobiliario","rm","lo prado","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","40","2","1","1","0","1","2197","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723586-sta-petronila-uda"
"portal inmobiliario","rm","maipu","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","96","86","3","2","1","1","1","4500","https://www.portalinmobiliario.com/venta/departamento/maipu-metropolitana/5728179-inversion-asegurada-av-americo-vespucio-maipu-uda"
"portal inmobiliario","rm","quinta normal","18/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","52","50","3","1","0","0","1","1950","https://www.portalinmobiliario.com/mlc-537211168-departamento-en-venta-de-3-dorm-en-quinta-normal-_jm"
"portal inmobiliario","rm","la florida","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","66","66","3","2","1","1","1","3290","https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/5725350-mall-plaza-vespucio-uda"
"portal inmobiliario","rm","estacion central","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","43","43","2","1","0","0","0","2658","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723752-buzo-sobenes-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","-16","130","3","4","1","1","0","11500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726461-carmencitadon-carlos-c_259920-uda"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","134","126","4","3","0","1","1","10900","https://www.portalinmobiliario.com/mlc-537039204-kennedy-las-tranqueras-_jm"
"portal inmobiliario","rm","nunoa","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","30","28","1","1","0","0","0","2700","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5726097-metro-nuble-c_259304-uda"
"portal inmobiliario","rm","providencia","18/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","52","48","2","2","1","1","1","4400","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5724657-venta-metro-salvador-2d-y-2b-estacionamiento-y-bodega-uda"
"portal inmobiliario","rm","lo barnechea","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","220","180","3","3","3","1","1","17000","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5726946-valle-del-monasterio-3-dorms-servicios-sala-estar-3-estacionamientos-uda"
"portal inmobiliario","rm","estacion central","22/07/2020","aparment","usada","-16","disponible","-16","30000","-16","N","40","40","2","1","0","0","0","1900","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5732026-conde-del-maule-4364-departamento-1307-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","110","3","3","1","1","1","9100","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5727134-los-pozosh-de-magallanes-c_260111-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","95","95","3","2","2","1","1","7500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726476-incluye-dos-estacionamientos-visviri-alonso-de-camargo-uda"
"portal inmobiliario","rm","vitacura","23/01/2020","aparment","nueva","-16","lanzamiento","2 semestre 2022","-16","-16","N","155","53","3","3","1","1","1","8160","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/8464-andes-tabancura-nva"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","85","77","2","2","1","1","1","7500","https://www.portalinmobiliario.com/mlc-537039234-las-condes-_jm"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","121","110","4","3","1","1","0","10200","https://www.portalinmobiliario.com/mlc-537039162-rotonda-carol-urzua-_jm"
"portal inmobiliario","rm","vitacura","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","146","140","3","2","1","1","0","9800","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5730926-paul-claudel-vista-club-de-golf-uda"
"portal inmobiliario","rm","santiago","19/07/2020","aparment","usada","-16","disponible","-16","70000","-16","N","55","50","2","2","1","1","1","3200","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5725122-tarapaca-a-dos-cuadras-del-metro-universidad-de-chile-uda"
"portal inmobiliario","rm","lo prado","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","27","27","1","1","0","0","0","1799","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5730571-santa-petronila-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","120","111","3","2","1","0","0","8625","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726309-vital-apoquindo-c_259635-uda"
"portal inmobiliario","rm","santiago","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","44","40","1","1","1","1","1","2800","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5730429-santa-isabel-176-uda"
"portal inmobiliario","rm","las condes","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","165","150","3","3","2","1","0","14000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5732340-club-del-golf-inversionistascontrato-empresa-vigente-uda"
"portal inmobiliario","rm","las condes","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","165","130","3","3","2","1","1","14500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5732534-excelente-y-amplio-barrio-el-golf-metro-escuela-militar-uda"
"portal inmobiliario","rm","vitacura","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","285","175","3","3","3","1","0","19000","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5731693-penthouse-jardin-del-este-uda"
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","159","139","3","3","2","1","1","15000","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5732499-las-hualtatas-cercano-parque-arauco-uda"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","164","136","4","4","0","1","0","14500","https://www.portalinmobiliario.com/mlc-537039217-avda-las-condesmall-sport-_jm"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","120","95","3","2","1","1","0","9895","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726863-el-golf-c_259961-uda"
"portal inmobiliario","rm","las condes","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","108","3","3","0","1","0","15000","https://www.portalinmobiliario.com/mlc-537819481-americo-vespucio-metro-escuela-militar-_jm"
"portal inmobiliario","rm","vitacura","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","130","119","3","2","1","1","0","11900","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5726460-las-nievesel-litre-c_259919-uda"
"portal inmobiliario","rm","nunoa","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","78","68","2","2","1","1","0","5400","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5727221-av-chile-espana-437-a-pasos-plaza-nunoa-uda"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","130","128","3","3","2","1","1","10600","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5723079-oscar-tenhann-mario-gonzalez-uda"
"portal inmobiliario","rm","la granja","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","35","35","3","1","0","0","0","1215","https://www.portalinmobiliario.com/venta/departamento/la-granja-metropolitana/5732001-isla-san-javier-8613-uda"
"portal inmobiliario","rm","santiago","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","87","87","3","2","1","1","1","4250","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5728356-sector-avenida-espana-metro-ula-y-republica-uda"
"portal inmobiliario","rm","vitacura","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","130","117","3","3","1","1","0","10200","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5726076-manquehue-clinica-alemana-c_259261-uda"
"portal inmobiliario","rm","nunoa","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","83","75","3","2","1","1","1","6000","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5723930-jose-domingo-canas-uda"
