Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"portal inmobiliario","Santiago","03/30/2020","House","usada","135","3","3","3","6900","https://www.portalinmobiliario.com/MLC-522932150-casa-en-venta-metro-rojas-magallanes-_JM#position=31&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Huechuraba","05/27/2020","Aparment","usada","120","3","2","1","6000","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5634026-camino-de-cintura-huechuraba-departamento-1467-uda#position=27&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","06/24/2020","Aparment","usada","128","3","3","2","6990","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5681338-av-del-parque-comodos-espacios-vista-despejada-uda#position=10&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","05/27/2020","Aparment","usada","252","3","2","2","6400","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5579495-camino-de-cintura-gran-patio-de-uso-exclusivo-2-estacionamientos-uda#position=29&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","11/05/2020","Aparment","usada","130","3","2","1","5300","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606462-departamento-como-nuevo-recien-pintado-uda#position=39&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","09/03/2020","Aparment","usada","112","3","2","1","5800","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5185162-impecable-departamento-camino-cintura-uda#position=6&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d"
"portal inmobiliario","Huechuraba","06/16/2020","Aparment","usada","100","3","2","2","6150","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5667622-vende-pedro-fontova-corredora-mejor-sector-no-dejar-de-ver-uda#position=15&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","10/06/2020","Aparment","usada","137","3","2","1","5600","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5658767-camino-de-cintura-disponibilidad-inmediata-uda#position=18&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","05/21/2020","Aparment","usada","230","3","2","1","5300","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5615361-berta-correa-los-libertadores-uda#position=30&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","04/13/2020","Aparment","usada","100","3","2","1","4200","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5554623-hermoso-departamento-en-pedro-fontova-uda#position=49&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","04/06/2020","Aparment","usada","107","3","2","1","4500","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5645787-lindo-departamento-inmejorable-ubicacion-ga-uda#position=23&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","05/15/2020","Aparment","usada","122","4","3","2","5600","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5613782-excelente-departamento-en-el-mejor-sector-pv-uda#position=34&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","07/07/2020","Aparment","usada","175","4","4","2","6100","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5706816-pedro-fontova-el-carmen-tour-virtual-2-suite-4d4b-2-estacionamientos-175-m2-uda#position=1&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","09/04/2020","Aparment","usada","152","3","2","2","6200","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5549256-departamento-con-patio-pedro-fontova-huechuraba-uda#position=1&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d"
"portal inmobiliario","Huechuraba","05/06/2020","Aparment","usada","150","4","3","1","6500","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5650301-vende-exclusivo-oportunidad-modelo-de-140-mts-uda#position=20&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","08/04/2020","Aparment","usada","169","4","4","1","6300","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5548086-pedro-fontova-7788-uda#position=2&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d"
"portal inmobiliario","Huechuraba","05/18/2020","Aparment","usada","100","3","2","1","5100","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5615823-del-roble-1578-uda#position=33&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
"portal inmobiliario","Huechuraba","05/28/2020","Aparment","usada","125","3","2","1","4990","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5635109-hermoso-dpto-en-cond-gran-vista-al-valle-de-huechuraba-uda#position=26&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2"
