SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200718,portal inmobiliario,rm,las condes,2020-07-15,aparment,usada,-16,Done,-16,350000,-16,N,5.0,150TO2H,302,181,67.0,3,3,1.0,1,1,1,17612,58,4415.0,250,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720247-av-la-plaza-san-francisco-de-asis-uda#position=38&type=item&tracking_id=6fc0f840-872c-4aa2-be31-e9d5e96cb753
20200718,portal inmobiliario,rm,lo barnechea,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,3.0,110TO130,134,124,8.0,3,3,1.0,2,1,1,10500,78,2464.0,234,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5725056-camino-del-atardecer-vista-3d3b-2-estacionamientos-remodelado-uda#position=12&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf
20200718,portal inmobiliario,rm,las condes,2020-07-16,aparment,usada,-16,Done,-16,-16,-16,N,5.0,100TO110,110,101,9.0,4,3,1.0,1,1,1,10550,95,2222.0,210,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5721989-metro-manquehue-alonso-de-cordovao-connell-uda#position=34&type=item&tracking_id=ac8d6244-7835-4611-a4bb-0c0bb613d63d
20200718,portal inmobiliario,rm,lo barnechea,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,3.0,80TO90,131,81,62.0,2,3,1.0,1,1,0,11290,86,1540.0,136,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5718647-departamento-nuevosin-comision-con-jardin-inversion-ideal-uda#position=35&type=item&tracking_id=dd31e79d-f174-4687-b513-02cf5440e3c0
20200718,portal inmobiliario,rm,vitacura,2020-07-16,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,9,127,-93.0,3,2,0.0,1,1,0,15300,1700,1296.0,84,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722071-jardin-del-este-agustin-del-castilloa-uda#position=21&type=item&tracking_id=ac8d6244-7835-4611-a4bb-0c0bb613d63d
20200718,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,175,129,36.0,3,3,1.0,2,1,1,15500,88,3058.0,197,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5723077-mar-jonico-nilo-azul-uda#position=42&type=item&tracking_id=4bea0174-a997-450d-a8bc-4cc27c8393d3
20200718,portal inmobiliario,rm,vitacura,2020-07-16,aparment,usada,-16,Done,-16,-16,-16,N,5.0,80TO90,90,83,8.0,2,2,1.0,1,1,0,11206,124,1265.0,112,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722227-vitacura-nuevos-123-d-uda#position=10&type=item&tracking_id=3089bb09-f34d-4605-8cc8-3636b8e3845d
20200718,portal inmobiliario,rm,lo barnechea,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,3.0,80TO90,80,80,0.0,2,2,0.0,0,0,1,7200,90,860.0,119,https://www.portalinmobiliario.com/mlc-537039261-dehesa-central-_jm#position=6&type=item&tracking_id=35c8ce0a-1946-4f4c-a1d7-401f21e4922f
20200718,portal inmobiliario,rm,providencia,2020-07-16,aparment,usada,-16,Done,-16,-16,-16,N,5.0,2HTO250,310,220,41.0,2,3,1.0,1,1,1,13990,45,4416.0,315,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5722177-willie-arthur-con-av-diego-de-almagro-uda#position=35&type=item&tracking_id=3089bb09-f34d-4605-8cc8-3636b8e3845d
20200718,portal inmobiliario,rm,providencia,2020-07-15,aparment,usada,-16,Done,-16,-16,-16,N,5.0,130TO150,150,140,7.0,3,3,1.0,0,0,0,9100,60,2340.0,257,https://www.portalinmobiliario.com/mlc-536814518-departamento-en-venta-de-3-dorm-en-providencia-_jm#position=50&type=item&tracking_id=3ad4c99d-ea38-4e9a-a85c-80b7d26ff723
20200718,portal inmobiliario,rm,providencia,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,5.0,80TO90,84,74,14.0,2,2,1.0,1,1,1,5200,61,1189.0,228,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5719819-av-salvador-880-uda#position=30&type=item&tracking_id=a09bd7af-c293-477e-bbaf-6280f715e714
20200718,portal inmobiliario,rm,las condes,2020-07-13,aparment,usada,-16,Done,-16,-16,-16,N,5.0,150TO2H,195,170,15.0,3,3,1.0,3,1,1,14500,74,4005.0,276,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5717541-colegio-aleman-oscar-tenhann-uda#position=32&type=item&tracking_id=bc557f23-440c-438e-81ac-1a44314640e9
20200718,portal inmobiliario,rm,las condes,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,5.0,90TO100,115,99,16.0,3,3,1.0,1,1,1,8000,69,2028.0,253,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5724922-av-cristobal-colon-felix-de-amesti-av-americo-vespucio-uda#position=35&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf
20200718,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,130TO150,170,140,21.0,4,4,1.0,2,1,1,13850,81,3762.0,271,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5724048-el-arcangel-las-hualtatas-0-uda#position=23&type=item&tracking_id=5b927d6b-2d3c-4a64-82e9-6c5b7b759150
20200718,portal inmobiliario,rm,recoleta,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,2.0,80TO90,57,57,0.0,3,1,0.0,1,0,0,2110,37,627.0,297,https://www.portalinmobiliario.com/venta/departamento/recoleta-metropolitana/5718229-los-flamencos-2450-uda#position=2&type=item&tracking_id=524217f3-e211-41b9-9313-eadace72981d
