Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,1,5300,130,40,2860,539,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606462-departamento-como-nuevo-recien-pintado-uda#position=39&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,09/03/2020,Aparment,usada,3,2,1,5800,112,51,2464,424,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5185162-impecable-departamento-camino-cintura-uda#position=6&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,06/16/2020,Aparment,usada,3,2,2,6150,100,61,2400,390,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5667622-vende-pedro-fontova-corredora-mejor-sector-no-dejar-de-ver-uda#position=15&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,10/06/2020,Aparment,usada,3,2,1,5600,137,40,3014,538,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5658767-camino-de-cintura-disponibilidad-inmediata-uda#position=18&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/21/2020,Aparment,usada,3,2,1,5300,230,23,5060,954,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5615361-berta-correa-los-libertadores-uda#position=30&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/13/2020,Aparment,usada,3,2,1,4200,100,42,2200,523,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5554623-hermoso-departamento-en-pedro-fontova-uda#position=49&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/06/2020,Aparment,usada,3,2,1,4500,107,42,2354,523,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5645787-lindo-departamento-inmejorable-ubicacion-ga-uda#position=23&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/15/2020,Aparment,usada,4,3,2,5600,122,45,3904,697,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5613782-excelente-departamento-en-el-mejor-sector-pv-uda#position=34&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,07/07/2020,Aparment,usada,4,4,2,6100,175,34,6300,1032,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5706816-pedro-fontova-el-carmen-tour-virtual-2-suite-4d4b-2-estacionamientos-175-m2-uda#position=1&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,09/04/2020,Aparment,usada,3,2,2,6200,152,40,3648,588,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5549256-departamento-con-patio-pedro-fontova-huechuraba-uda#position=1&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
