SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200731,portal inmobiliario,rm,estacion central,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,80TO90,32,32,1,1,0.0,0,0,0,2100,66.0,152.0,72,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749618-general-amengual-uda
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,100,96,3,2,1.0,0,0,0,7200,75.0,1390.0,193,https://www.portalinmobiliario.com/mlc-539002356-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
20200731,portal inmobiliario,rm,estacion central,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,LT30,28,28,1,1,0.0,0,0,0,1799,64.0,133.0,73,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749592-las-rejas-norte-uda
20200731,portal inmobiliario,rm,macul,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,LT30,32,28,1,1,1.0,1,1,1,1900,68.0,266.0,140,https://www.portalinmobiliario.com/mlc-539000891-departamento-en-venta-de-1-dormitorio-en-macul-_jm
20200731,portal inmobiliario,rm,estacion central,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,LT30,20,20,1,1,0.0,1,1,1,1400,70.0,155.0,110,https://www.portalinmobiliario.com/mlc-539003144-departamento-en-venta-de-1-dormitorio-en-estacion-central-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,88,83,3,2,1.0,1,1,0,7800,94.0,1423.0,182,https://www.portalinmobiliario.com/mlc-539019200-departamento-en-venta-de-3-dorm-en-las-condes-_jm
20200731,portal inmobiliario,rm,estacion central,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,LT30,28,28,1,1,0.0,0,0,0,1799,64.0,133.0,73,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749590-las-rejas-norte-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,68,59,2,2,1.0,1,1,1,4790,81.0,907.0,189,https://www.portalinmobiliario.com/mlc-539001063-departamento-en-venta-de-2-dormitorios-en-nunoa-_jm
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,39,33,1,1,1.0,1,0,1,4150,126.0,362.0,87,https://www.portalinmobiliario.com/mlc-538999396-departamento-en-venta-de-1-dormitorio-en-providencia-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,70,70,3,2,0.0,0,1,0,3576,51.0,980.0,274,https://www.portalinmobiliario.com/mlc-539001435-departamento-en-venta-de-3-dormitorios-en-santiago-_jm
20200731,portal inmobiliario,rm,vitacura,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,128,113,3,3,1.0,1,1,1,10700,95.0,2290.0,214,https://www.portalinmobiliario.com/mlc-539033987-departamento-en-venta-de-3-dormitorios-en-vitacura-_jm
20200731,portal inmobiliario,rm,providencia,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO140,135,134,4,3,1.0,1,1,0,10600,79.0,2788.0,263,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5745789-lyon-entre-eliodoro-yanez-y-carlos-antunez-uda
