SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200721,portal inmobiliario,rm,nunoa,2020-07-15,aparment,nueva,-16,venta en verde,1 trimestre 2022,-16,-16,N,4.0,LT30,58,30,93.0,2,2,1.0,1,1,0,2490,83.0,576.0,231,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9066-edificio-new-nva
20200721,portal inmobiliario,rm,las condes,2020-07-16,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,100TO110,110,103,7.0,3,3,1.0,1,1,0,7050,68.0,1983.0,281,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5722184-metro-colon-vista-110-mts2-3d3b-uda
20200721,portal inmobiliario,rm,providencia,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,52,50,4.0,2,2,1.0,1,1,1,5350,107.0,774.0,144,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5728235-metro-manuel-montt-uda
20200721,portal inmobiliario,rm,el bosque,2020-07-16,aparment,usada,-16,disponible,-16,-16,-16,N,1.0,80TO90,55,55,0.0,3,1,0.0,0,0,0,1354,25.0,481.0,355,https://www.portalinmobiliario.com/venta/departamento/el-bosque-metropolitana/5722466-indio-geronimo-10711-departamento-t7-uda
20200721,portal inmobiliario,rm,las condes,2020-07-18,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO130,135,128,5.0,4,3,1.0,2,1,1,10450,82.0,2975.0,284,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5724811-los-militares-alonso-de-cordova-uda
20200721,portal inmobiliario,rm,macul,2020-07-15,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,83,83,0.0,3,2,0.0,1,1,1,4000,48.0,1203.0,300,https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/5720555-av-macul-uda
20200721,portal inmobiliario,rm,las condes,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO130,160,130,23.0,2,3,1.0,0,0,0,9500,73.0,2023.0,212,https://www.portalinmobiliario.com/mlc-536957886-departamento-en-venta-de-2-dorm-en-las-condes-_jm
20200721,portal inmobiliario,rm,santiago,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,32,32,0.0,1,1,0.0,0,1,1,2090,65.0,272.0,130,https://www.portalinmobiliario.com/mlc-537546988-departamento-en-venta-de-1-dorm-en-santiago-_jm
20200721,portal inmobiliario,rm,estacion central,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,1.0,80TO90,45,45,0.0,2,1,0.0,1,1,1,2465,55.0,438.0,177,https://www.portalinmobiliario.com/mlc-537341512-radal-0102-santiago-estacion-central-chile-_jm
20200721,portal inmobiliario,rm,la florida,2020-07-19,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,50,48,4.0,2,1,1.0,1,0,1,2218,46.0,488.0,220,https://www.portalinmobiliario.com/mlc-537313224-departamento-en-venta-de-2-dorm-en-la-florida-_jm
20200721,portal inmobiliario,rm,santiago,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,LT30,30,30,0.0,1,1,0.0,1,0,1,1985,66.0,270.0,136,https://www.portalinmobiliario.com/mlc-537036838-departamento-en-venta-de-1-dorm-en-nunoa-_jm
20200721,portal inmobiliario,rm,nunoa,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,35,35,0.0,1,1,0.0,1,1,1,3600,103.0,350.0,97,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5726502-departamento-uda
