Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"toctoc","Santiago","12-05-2020","House","TBD","0 m²","3.0","2.0","TBD","$  145.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/madrid-matta-3d-2b-cercano-a-metro-matta-con-gran-conectividad/1478011?o=resultado_lista_seo_info"
"toctoc","Santiago","27-02-2020","House","TBD","0 m²","13.0","2.0","TBD","$  170.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/metro-nuble-pedro-leon-ugalde-santa-elvira/1431540?o=resultado_lista_seo_info"
"toctoc","Santiago","20-02-2020","House","TBD","0 m²","6.0","4.0","TBD","UF  5.400","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/10-de-julio-metro-matta/1426805?o=resultado_lista_seo_info"
"toctoc","Santiago","25-03-2020","House","TBD","117 m²","3.0","1.0","TBD","$  145.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/excelente-casa-en-nuble-arturo-prat/1450600?o=resultado_lista_seo_info"
"toctoc","Santiago","21-01-2020","House","TBD","0 m²","3.0","1.0","TBD","$  200.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/moneda-con-herrera/1404724?o=resultado_lista_seo_info"
"toctoc","Santiago","16-04-2020","House","TBD","125 m²","5.0","2.0","TBD","$  174.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/sin-comision-hermosa-casa-en-matta-sur/1460778?o=resultado_lista_seo_info"
"toctoc","Santiago","07-05-2020","House","TBD","180 m²","7.0","2.0","TBD","$  135.000.000","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/ingeniero-obrech-2069-santiago/1474532?o=resultado_lista_seo_info"
"toctoc","Santiago","23-04-2020","House","TBD","0 m²","3.0","2.0","TBD","$  170.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/tocornal-hospital-clinico-san-borja/1464607?o=resultado_lista_seo_info"
"toctoc","Santiago","27-05-2020","House","TBD","129 m²","3.0","2.0","TBD","$  190.000.000","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/agustin-edwards-2172-santiago/1219046?o=resultado_lista_seo_info"
"toctoc","Santiago","27-02-2020","House","TBD","180 m²","3.0","3.0","TBD","$  165.000.000","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/casa-comercial-metro-nuble-santiago/1431087?o=resultado_lista_seo_info"
"toctoc","Santiago","01-07-2020","House","TBD","200 m²","6.0","2.0","TBD","UF  4.500","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/san-pablo-santiago/1450478?o=resultado_lista_seo_info"
"toctoc","Santiago","12-06-2020","House","TBD","0 m²","3.0","3.0","TBD","$  165.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/sargento-aldea/1495709?o=resultado_lista_seo_info"
