Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"icasas","Huechuraba","","House","","129m2","4 Dormitorios","4 Baños","","UF 6.500","https://www.icasas.cl/propiedad/379447","propiedad dentro de condominio seguridad las 24 horas propiedad de tres pisos primer piso :living comedor de piso flotante con amplios ventanales que dan al jardíncalefacción por radiadores. jardín con terraza techadariego automático cocina equipada y amoblada logia cerradaservicio completo y baño de visita. segundo piso: dormitorio principal en suite de piso flotante baño y espaciosa sala estar. tercer piso: dos dormitorios baño mas sala de estar antejardín y estacionamiento. agenda tu visita: ventashuechuraba@avsa. cl"
"icasas","Huechuraba","","House","","137m2","4 Dormitorios","3 Baños","","UF 6.100","https://www.icasas.cl/propiedad/365146","estupenda casa mediterránea dentro de condominio137/200 mts aproximados seguridad 24 hrs pocas casas estacionamiento de visitas 4 dormitorios principal en suite toda la casa con piso flotante (excepto la escala) amplia cocina equipada amoblada con comedor de diario living comedor juntos terraza techada deck de madera loggia techada estacionamiento descubierto para dos autos estacionamientos de visitas. primer piso: amplio hall de entrada en piso flotante baño de visitas living comedor en piso flotante cocina equipada amoblada con muebles en granito comedor de diario principal en suite. segundo piso: subida de escala con alfombra amplia sala de estar en piso flotante baño completo y tres dormitorios en piso flotante de muy buen tamaño. orientación norte¡¡ exterior: lindo patio con terraza techada y deck de madera aprovechando bien los espacios estacionamiento descubierto para dos autos estacionamientos de visitas ante jardín formado. no deje de visitar esta propiedad. le va a encantar¡¡ a pasos de colegios supermercados y locomoción¡¡ una casa mediterránea muy cómoda y acogedora. agenda tu visita: ventashuechuraba@avsa. cl"
"icasas","Huechuraba","","House","","139m2","4 Dormitorios","3 Baños","","UF 6.400","https://www.icasas.cl/propiedad/431892","espectacular casa completamente equipada y remodelada de 3 pisos consta de 4 dormitorios y 3 baños. 210 m2 total. 1 piso : hall de entrada  living comedor separados comedor con acceso a patio con gran ventanal cocina con loggia remodelada estilo americana y baño de visita. 2 piso : 3 habitaciones  1 dormitorio principal en suite con baño remodelado con jacuzzi aire acondicionado y un segundo baño en el pasillo. dos dormitorios amplios con closet. 3 piso: habilitado como un gran cuarto dormitorio con walkin closet o sala de juegos multi propósito. estacionamiento para 3 vehículos. patio trasero con gran piscina de 7. 5 x 2. 9 1. 40 profundidad 1. 90. terraza y quincho. emplazada en condominio con seguridad y guardias 24 hrs. acceso controlado. cercano a supermercados colegios áreas verde"
"icasas","Huechuraba","","House","","140m2","4 Dormitorios","3 Baños","","UF 5.700","https://www.icasas.cl/propiedad/418881","estupenda casa dentro de condominio tres pisos aislada 140/198 m2 aproximados full seguridad cerca de centros comerciales colegios a pasos de locomoción cuatro dormitorios principal en suite espaciosa sala de estar cocina equipada amoblada 3 baños escritorio living comedor separados terraza techada piscina con lindo deck acogedor jardín formado. agenda tu visita: ventashuechuraba@avsa. cl"
"icasas","Huechuraba","","House","","128m2","4 Dormitorios","3 Baños","","UF 6.000","https://www.icasas.cl/propiedad/315099","guanaco norte/ del manantial amplia casa 3 pisos aislada y en condominio 128 / 220 m2 4 dormitorios walk in closet 2 baños completos principal en suite cocina amoblada living comedor separados con salida a terraza mansarda acondicionada para dormitorio sala de juegos pieza de lavado estacionamiento para 2 vehículos juegos infantiles conserjería 24 horas excelente conectividad próximo a comercio y servicios. @¬. marcela arce tel."
"icasas","Huechuraba","","House","","139m2","3 Dormitorios","3 Baños","","UF 6.900","https://www.icasas.cl/propiedad/399616","linda casa de dos pisos a pasos de avenida principal de huechuraba cercana a variados centros comerciales y colegios. primer piso:hall de acceso living comedor separadobaño de visitacocina equipada completa con loggia integrada suite principal terraza y jardín. segundo piso: sala de estar dos cuarto muy amplio de niños y el tercer baños. la propiedad cuenta con estacionamiento. agenda tu visita: ventashuechuraba@avsa. cl"
"icasas","Huechuraba","","House","","158m2","5 Dormitorios","4 Baños","","UF 6.450","https://www.icasas.cl/propiedad/427590","excelente oportunidad casa fuera del centro de santiago pero con excelente conectividad condominio ubicado en la entrada de pedro fontova con entrada y salida por pedro fontova y santa marta. ideal para familia numerosa con hijos se encuentra en condominio cerrado con vigilancia 24/7 y un parque interior del condominio privado casa de 3 pisos 5 habitaciones y 4 baños. 160m2 construido/180 m2 terreno con piscina y estacionamien...to para 2 vehiculos se distribuye de la siguiente manera: primer piso: hall entrada living y comedor independiente closet baño de visita. amplia cocina con comedor de diario tiene conectividad con gran logia/bodega y pieza de servicio independiente con baño. patio con terraza techada con piscina para disfrutar con la familia y amigos. segundo piso: pieza principal con terraza en suite con walking closet gigante espejo y ventanal. baño con tina ventilacion natural. otra habitación que puede funcionar como sala de juegos con conexion a televisor y terraza cerrada amplio closet. tercer piso: 2 habitaciones grandes con ventanales amplio baño con lavamano independiente del baño con tina ventilación natural los metros informados son aproximados y entregados por el propietario la información entregada será validada en tasación bancaria asesoramos en la búsqueda de su propiedad. estamos a su disposición para ayudarte en obtención de créditos con entidades bancarias y mutuarias ya sea para la venta compra o arriendo de casas departamentos terrenos parcelas locales comerciales industriales etc. en todo el territorio nacional así como también cobertura internacional. si tiene alguna consulta o pregunta no dude en contactarnos esperamos poder ayudarle.mostrar"
"icasas","Huechuraba","","House","","140m2","4 Dormitorios","3 Baños","","UF 6.000","https://www.icasas.cl/propiedad/433421","gran casa luminosa y en excelente estado de 140/190. dentro de condominio cerca de comercio locomoción y colegios. está frente a una gran plaza con árboles y juegos para niños. estacionamiento de adoquines para dos o tres autos. en el primer piso esta el hall de distribución y al lado izquierdo hay un escritorio o pequeño dormitorio con baño completo y al derecho una gran cocina amplia y muy bien equipada que continua hacia una linda logia construida hacia la parte delantera con bonitas terminaciones. luego hacia el frente del hall hay un gran living comedor juntos pero muy grande con un lindo piso flotante y grandes ventanales que dan a una gran terraza con pérgola y piso bonito tipo ladrillo que da hacia el norte. . la casa completa es con un lindo piso flotante casi nuevo y todos sus muros con su pintura en buen estado. en el segundo piso hay una suite enorme muy luminosa con su baño y walkin closet más una sala de estar de todo el ancho de la casa. tercer piso hay dos dormitorios grandes y un baño completo grande. agenda tu visita: ventashuechuraba@avsa. cl"
"icasas","Huechuraba","","House","","140m2","4 Dormitorios","4 Baños","","UF 6.500","https://www.icasas.cl/propiedad/469505","vendo hermosa casa aislada de 3 piso en exclusivo sector de huachuraba. "precio conversable". "excelente estado" descripcion: primer piso cuenta con living comedor cocina amoblada y equipada baño y logia segundo piso: matrimonial con baño en suit y walking closet 2 dormitorios y baño tercer piso: dormitorio con baño en siut y closet y muy amplia sala de estar patio t...rasero con hermoso jardin con amplia y hermosa terraza y riego automatico accesos controlados las 24 horas del dia areas verdes juegos infantiles. cercana a supermercado colegios comercio en general . aprovecha esta gran oportunidad!! llamenos y agende su visista!!mostrar"
"icasas","Huechuraba","","House","","120m2","5 Dormitorios","3 Baños","","UF 5.495,21","https://www.icasas.cl/propiedad/467807","nan"
