SNAP_DT	SRCE	REGION	PROVINCE	PROPERTY_TYPE	PROPERTY_STATE	SIZE_GROUP	COUNT	MT_TOT_AVG	MT_UTIL_AVG	PRICE_AVG	ETL_UF_X_MT2_AVG	ETL_VALUE_AVG	ETL_SCORE_AVG
20200718	portal inmobiliario	rm	san ramon	aparment	usada	80TO90	1	60	60	1215	20	765	629
20200718	portal inmobiliario	rm	lo barnechea	house	usada	250TO3H	32	1290	273	21526	27	13152	629
20200718	portal inmobiliario	rm	san ramon	house	usada	130TO150	1	365	140	3993	10	2508	628
20200718	portal inmobiliario	rm	la florida	house	usada	4HTO5H	2	117	439	7350	63	4565	626
20200718	portal inmobiliario	rm	pudahuel	house	usada	250TO3H	1	654	300	11980	18	7461	622
20200718	portal inmobiliario	rm	la florida	house	usada	2HTO250	5	399	236	8240	27	5409	622
20200718	portal inmobiliario	rm	san joaquin	house	usada	130TO150	1	353	146	5499	15	3392	616
20200718	portal inmobiliario	rm	providencia	house	usada	3HTO4H	3	538	352	19560	41	10683	612
20200718	portal inmobiliario	rm	quinta normal	house	usada	80TO90	2	163	78	2428	16	1414	603
20200718	portal inmobiliario	rm	la florida	house	usada	150TO2H	14	383	182	6934	21	4061	596
20200718	portal inmobiliario	rm	recoleta	house	usada	150TO2H	1	313	181	7250	23	4326	596
20200718	portal inmobiliario	rm	el bosque	house	usada	100TO110	1	206	110	2218	10	1318	594
20200718	portal inmobiliario	rm	estacion central	house	usada	110TO130	2	211	116	4697	30	2634	583
20200718	portal inmobiliario	rm	el bosque	house	usada	130TO150	1	162	140	2605		1514	581
20200718	portal inmobiliario	rm	la reina	house	usada	3HTO4H	6	711	343	18106	27	10460	578
20200718	portal inmobiliario	rm	huechuraba	house	usada	150TO2H	14	598	178	11185	23	6614	572
20200718	portal inmobiliario	rm	san miguel	house	usada	130TO150	1	1080	145	22569	20	12568	556
20200718	portal inmobiliario	rm	padre hurtado	house	usada	110TO130	1	315	124	6500	20	3606	554
20200718	portal inmobiliario	rm	vitacura	house	usada	4HTO5H	1	550	450	22000	40	12167	553
20200718	portal inmobiliario	rm	las condes	house	usada	3HTO4H	12	730	334	20299	35	11572	545
20200718	portal inmobiliario	rm	san bernardo	house	usada	110TO130	3	161	124	2627	20	1384	542
20200718	portal inmobiliario	rm	lo conchali	house	usada	110TO130	1	270	113	3298	12	1787	541
20200718	portal inmobiliario	rm	colina	house	usada	130TO150	61	589	143	9189	21	4837	540
20200718	portal inmobiliario	rm	maipu	house	usada	150TO2H	9	411	166	8612	24	4489	527
20200718	portal inmobiliario	rm	melipilla	house	usada	110TO130	1	231	130	3993	17	2094	524
20200718	portal inmobiliario	rm	puente alto	house	usada	110TO130	17	202	120	4123	23	2031	515
20200718	portal inmobiliario	rm	santiago	aparment	usada	110TO130	1	121	121	3050	25	1573	515
20200718	portal inmobiliario	rm	quinta normal	house	usada	110TO130	1	198	124	3645	18	1870	513
20200718	portal inmobiliario	rm	lo barnechea	house	usada	3HTO4H	14	884	350	22028	26	11160	513
20200718	portal inmobiliario	rm	nunoa	house	usada	2HTO250	8	397	219	12708	34	6461	513
20200718	portal inmobiliario	rm	la reina	house	usada	5HTO1K	1	388	767	23500	60	12052	512
20200718	portal inmobiliario	rm	independencia	house	usada	2HTO250	2	329	232	7899	24	3928	510
20200718	portal inmobiliario	rm	pudahuel	house	usada	130TO150	4	381	139	6378	20	3391	508
20200718	portal inmobiliario	rm	la reina	house	usada	250TO3H	7	657	279	17437	27	8825	508
20200718	portal inmobiliario	rm	pudahuel	house	usada	110TO130	4	184	123	3752	21	1857	506
20200718	portal inmobiliario	rm	lampa	house	usada	130TO150	2	235	142	5154	22	2602	505
20200718	portal inmobiliario	rm	san miguel	house	usada	150TO2H	4	380	170	9113	22	3864	494
20200718	portal inmobiliario	rm	penalolen	house	usada	150TO2H	31	425	179	10269	25	5138	493
20200718	portal inmobiliario	rm	macul	aparment	usada	90TO100	2	150	96	4069	28	1959	491
20200718	portal inmobiliario	rm	paine	house	usada	100TO110	1	310	104	5034		2473	491
20200718	portal inmobiliario	rm	macul	house	usada	110TO130	1	360	111	6215	17	3049	490
20200718	portal inmobiliario	rm	lo barnechea	house	usada	2HTO250	51	930	228	19491	33	9564	490
20200718	portal inmobiliario	rm	colina	house	usada	100TO110	3	325	107	4921	16	2377	482
20200718	portal inmobiliario	rm	huechuraba	aparment	usada	130TO150	2	155	145	6400	41	3053	477
20200718	portal inmobiliario	rm	nunoa	house	usada	3HTO4H	6	396	368	14909	49	7428	476
20200718	portal inmobiliario	rm	estacion central	house	usada	130TO150	1	185	140	3437	18	1626	473
20200718	portal inmobiliario	rm	cerro navia	house	usada	110TO130	1	109	120	2430	22	1151	473
20200718	portal inmobiliario	rm	quilicura	house	usada	150TO2H	5	259	175	6813	25	3025	470
20200718	portal inmobiliario	rm	lampa	house	usada	110TO130	7	205	122	4705	25	2131	465
20200718	portal inmobiliario	rm	el bosque	house	usada	2HTO250	1	70	246	4166	59	1936	464
20200718	portal inmobiliario	rm	lampa	house	usada	90TO100	4	199	96	3877	19	1762	463
20200718	portal inmobiliario	rm	la florida	house	usada	130TO150	8	359	142	8933	25	4046	460
20200718	portal inmobiliario	rm	las condes	house	usada	250TO3H	21	677	277	21321	36	9781	456
20200718	portal inmobiliario	rm	pudahuel	house	usada	150TO2H	2	480	190	8422	17	3840	455
20200718	portal inmobiliario	rm	maipu	house	usada	250TO3H	1	400	280	8680	21	3955	455
20200718	portal inmobiliario	rm	estacion central	aparment	usada	90TO100	1	98	94	2777	28	1266	455
20200718	portal inmobiliario	rm	estacion central	house	usada	90TO100	1	163	98	4500	27	2047	454
20200718	portal inmobiliario	rm	talagante	house	usada	80TO90	1	70	58	1180		536	454
20200718	portal inmobiliario	rm	recoleta	house	usada	90TO100	3	171	98	3900	23	1722	447
20200718	portal inmobiliario	rm	san miguel	house	usada	250TO3H	1	212	260	6300	29	2813	446
20200718	portal inmobiliario	rm	huechuraba	house	usada	130TO150	17	277	140	7252	27	3197	445
20200718	portal inmobiliario	rm	santiago	house	usada	2HTO250	7	484	219	12661	30	5875	442
20200718	portal inmobiliario	rm	el bosque	house	usada	80TO90	4	147	77	2736	26	1342	437
20200718	portal inmobiliario	rm	maipu	house	usada	110TO130	13	167	122	4418	27	1872	437
20200718	portal inmobiliario	rm	la florida	house	usada	110TO130	18	225	120	5576	27	2462	437
20200718	portal inmobiliario	rm	la cisterna	house	usada	3HTO4H	1	720	380	9027	12	3916	433
20200718	portal inmobiliario	rm	puente alto	house	usada	100TO110	11	267	109	5624	22	2459	433
20200718	portal inmobiliario	rm	maipu	house	usada	130TO150	11	174	140	4734	28	1981	432
20200718	portal inmobiliario	rm	la reina	house	usada	2HTO250	21	544	225	16113	34	6839	431
20200718	portal inmobiliario	rm	buin	house	usada	80TO90	9	136	66	2274	17	944	429
20200718	portal inmobiliario	rm	quinta normal	house	usada	150TO2H	3	487	183	8478	19	3373	429
20200718	portal inmobiliario	rm	huechuraba	house	usada	100TO110	1	212	107	5990	28	2562	427
20200718	portal inmobiliario	rm	colina	house	usada	110TO130	19	335	123	7031	21	2941	426
20200718	portal inmobiliario	rm	pedro aguirre cerda	house	usada	90TO100	1	147	94	2604	17	1105	424
20200718	portal inmobiliario	rm	macul	house	usada	130TO150	5	285	143	6991	31	3048	423
20200718	portal inmobiliario	rm	quilicura	house	usada	2HTO250	1	120	220	5552	46	2351	423
20200718	portal inmobiliario	rm	colina	house	usada	80TO90	17	192	74	2833	16	1171	421
20200718	portal inmobiliario	rm	quilicura	house	usada	110TO130	4	277	119	6906	30	2765	420
20200718	portal inmobiliario	rm	macul	house	usada	3HTO4H	4	228	343	8810	65	3611	420
20200718	portal inmobiliario	rm	penaflor	house	usada	90TO100	1	209	98	3050	14	1278	419
20200718	portal inmobiliario	rm	san bernardo	house	usada	90TO100	1	112	96	2083	18	872	418
20200718	portal inmobiliario	rm	cerrillos	house	usada	80TO90	1	125	71	2361	18	977	413
20200718	portal inmobiliario	rm	renca	house	usada	80TO90	1	110	85	2361	21	976	413
20200718	portal inmobiliario	rm	santiago	house	usada	80TO90	5	109	62	2426	23	927	409
20200718	portal inmobiliario	rm	buin	house	usada	90TO100	4	225	98	4292	20	1729	405
20200718	portal inmobiliario	rm	nunoa	house	usada	250TO3H	3	417	294	14455	54	5709	404
20200718	portal inmobiliario	rm	cerrillos	house	usada	100TO110	2	144	107	4427	31	1768	403
20200718	portal inmobiliario	rm	vitacura	house	usada	3HTO4H	5	551	342	21660	41	8757	402
20200718	portal inmobiliario	rm	la florida	house	usada	90TO100	6	172	97	4441	27	1655	401
20200718	portal inmobiliario	rm	isla de maipo	house	usada	110TO130	1	200	125	4900	24	1954	398
20200718	portal inmobiliario	rm	puente alto	house	usada	90TO100	9	218	96	4899	26	1947	397
20200718	portal inmobiliario	rm	independencia	house	usada	130TO150	1	340	136	7812	22	3089	395
20200718	portal inmobiliario	rm	huechuraba	house	usada	110TO130	4	226	127	6341	32	2607	394
20200718	portal inmobiliario	rm	penaflor	house	usada	80TO90	8	116	72	2391	22	970	392
20200718	portal inmobiliario	rm	maipu	house	usada	90TO100	10	168	99	3710	23	1379	392
