Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","172","139","4","3","1","1","0","13900","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5734335-las-hualtatas-vitacura-region-metropoli-uda"
"portal inmobiliario","rm","las condes","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","75","75","2","2","0","1","0","6570","https://www.portalinmobiliario.com/mlc-538245654-neveria-evaristo-lillo-_jm"
"portal inmobiliario","rm","santiago","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","42","2","1","0","0","0","2558","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736815-blanco-garcez-uda"
"portal inmobiliario","rm","estacion central","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","23","23","1","1","0","0","0","1497","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736970-buzo-sobenes-uda"
"portal inmobiliario","rm","nunoa","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","50","50","1","1","1","1","1","3750","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5730234-irarrazaval-5150-piso-19-conectividad-remodelado-luminoso-uda"
"portal inmobiliario","rm","santiago","21/07/2020","aparment","usada","-16","disponible","-16","75000","-16","N","46","42","2","1","1","0","0","3100","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5729050-avenida-santa-rosa-365-uda"
"portal inmobiliario","rm","providencia","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","117","117","2","2","0","0","0","6423","https://www.portalinmobiliario.com/mlc-538160818-av-francisco-bilbao-tobalaba-metro-fco-bilbao-_jm"
"portal inmobiliario","rm","estacion central","21/07/2020","aparment","usada","-16","disponible","-16","25000","-16","N","19","19","1","1","1","0","0","1420","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5729523-metro-san-alberto-hurtado-general-velasquez-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","159","139","4","3","1","1","0","12750","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5727721-gertrudis-echenique-200-uda"
"portal inmobiliario","rm","santiago","22/07/2020","aparment","usada","5","Done","-16","-16","-16","N","36","36","1","1","0","0","0","1770","https://www.portalinmobiliario.com/mlc-537930596-mario-kreutzberger-1520-santiago-chile-_jm"
