,PriceUnit,Price,item,link
42,UF,17.900,UF 17.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756527-oportunidad-ursulinas-museo-ralli-plaza-turquia-uda#position=43&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
43,UF,16.780,UF 16.780,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756522-sport-frances-calle-muy-tranquila-lindo-jardin-uda#position=44&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
44,UF,14.900,UF 14.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756521-vitacura-mediterranea-nueva-uda#position=45&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
45,UF,12.900,UF 12.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756515-escriva-de-balaguer-del-mirador-los-estanques-uda#position=46&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
46,UF,14.200,UF 14.200,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756509-padre-hurtado-vitacura-oportunidad-uda#position=47&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
47,UF,12.980,UF 12.980,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756506-oportunidad-remodelada-colegio-manquehue-uda#position=48&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
48,UF,21.500,UF 21.500,https://www.portalinmobiliario.com/MLC-539696025-alianza-francesa-pio-xi-remodelada-_JM#position=49&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
49,UF,11.900,UF 11.900,https://www.portalinmobiliario.com/MLC-539680629-casa-en-venta-de-5-dorm-en-vitacura-_JM#position=50&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
50,UF,22.400,UF 22.400,https://www.portalinmobiliario.com/MLC-540460037-casa-en-venta-jumbo-bilbao-_JM#position=1&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
51,UF,22.400,UF 22.400,https://www.portalinmobiliario.com/MLC-540459975-casa-en-venta-jumbo-bilbao-_JM#position=2&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
52,$,80.000.000,$ 80.000.000,https://www.portalinmobiliario.com/MLC-540450539-casa-en-venta-villa-mexico-_JM#position=3&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
53,UF,7.100,UF 7.100,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5324485-portales-maipu-uda#position=4&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
54,UF,12.000,UF 12.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5762301-serrano-entre-tarapaca-y-eleuterio-ramirez-uda#position=5&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
55,UF,13.998,UF 13.998,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5105076-casona-antigua-para-inversionistas-metro-republica-metro-los-heroes-uda#position=6&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
56,UF,7.800,UF 7.800,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5761349-sensacional-yungay-lucrecia-valdes-uda#position=7&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
57,$,320.000.000,$ 320.000.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5760915-republica-blanco-encalada-uda#position=8&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
58,UF,7.390,UF 7.390,https://www.portalinmobiliario.com/MLC-540240429-casa-en-venta-liraylo-pinto-_JM#position=9&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
59,$,230.000.000,$ 230.000.000,https://www.portalinmobiliario.com/MLC-540236234-zenteno-victoria-barrio-matta-_JM#position=10&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
60,$,180.000.000,$ 180.000.000,https://www.portalinmobiliario.com/MLC-540234417-casa-en-venta-en-santiago-_JM#position=11&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
61,$,150.000.000,$ 150.000.000,https://www.portalinmobiliario.com/MLC-540219981-joaquin-v-sta-isabel-_JM#position=12&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
62,$,150.000.000,$ 150.000.000,https://www.portalinmobiliario.com/MLC-540219989-joaquin-v-sta-isabel-_JM#position=13&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
63,$,180.000.000,$ 180.000.000,https://www.portalinmobiliario.com/MLC-540219865-san-ignacio-santa-isabel-_JM#position=14&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
64,UF,5.800,UF 5.800,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5758634-av-mattasta-rosa-uda#position=15&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
65,UF,12.000,UF 12.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5758467-colegio-hispano-americano-uda#position=16&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
66,UF,16.150,UF 16.150,https://www.portalinmobiliario.com/MLC-540024787-casa-en-venta-de-5-dorm-en-santiago-_JM#position=17&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
67,UF,5.500,UF 5.500,https://www.portalinmobiliario.com/MLC-540015534-casa-en-venta-de-6-dorm-en-santiago-_JM#position=18&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
